Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1998:Q1,Next9,34.3,32.1,26.9,21.5,34.1,39.5,33.3,30.8,18.1,19.8,9.4,31.6
1998:Q1,Next40,33.6,34.9,47.2,42.6,15.9,46.3,16.8,31.9,43.3,47.4,36.1,26.4
1998:Q1,Bottom50,3.5,7.6,15.2,22.9,1.7,4.5,2.1,5.3,33.5,28,53.2,19.2
1998:Q2,Top1,28.6,25.4,10.9,12.8,48.1,9.7,47.7,32.3,5.1,4.7,1.3,23.1
1998:Q2,Next9,34.3,32.1,26.9,21.6,34.2,39.6,32.5,30.8,18.3,19.9,9.5,33.1
1998:Q2,Next40,33.8,35.1,47.5,42.8,16.1,46.3,17.6,31.7,43.4,47.6,36.1,25.7
1998:Q2,Bottom50,3.4,7.5,14.7,22.8,1.7,4.4,2.2,5.2,33.3,27.7,53.1,18.1
1998:Q3,Top1,27.9,24.7,10.7,12,46.9,9.7,46.9,32.9,5.1,4.7,1.2,24.5
1998:Q3,Next9,34.3,32.1,26.6,22.3,34.4,39.5,33.3,30.9,18.4,20.1,9.7,32.7
1998:Q3,Next40,34.2,35.6,47.4,43.2,16.9,46.5,17.5,31.1,43.6,47.8,36.1,26.2
1998:Q3,Bottom50,3.6,7.7,15.2,22.5,1.8,4.3,2.3,5.1,33,27.4,53,16.5
1998:Q4,Top1,28.1,25,11.1,12.9,47.1,9.3,46.6,31.8,5.1,4.8,1.2,24.3
1998:Q4,Next9,34.6,32.4,27,21.6,34.6,39.9,33.7,31,18.2,20,9.5,32.1
1998:Q4,Next40,33.9,35.3,47.4,42.8,16.7,46.5,17.5,32.1,43.7,47.9,36.4,27
1998:Q4,Bottom50,3.4,7.4,14.6,22.7,1.7,4.4,2.2,5.1,33,27.4,52.9,16.5
1999:Q1,Top1,27.8,24.7,11.1,13.2,46.5,9.2,46.9,32,5.2,4.8,1.3,24.4
1999:Q1,Next9,34.7,32.4,27,21.5,34.9,40,33.1,31.1,18,19.8,9.4,32.3
1999:Q1,Next40,34,35.3,47.1,42.7,17,46.4,17.8,31.8,43.9,48,36.4,26.7
1999:Q1,Bottom50,3.5,7.5,14.8,22.7,1.7,4.4,2.1,5.1,32.9,27.4,52.9,16.6
1999:Q2,Top1,28.1,24.9,11.2,13.7,46.4,9,47.9,31.6,5.1,4.8,1.3,22.4
1999:Q2,Next9,34.7,32.5,27.2,21.1,35.1,40.2,31.4,31.4,18,19.6,9.2,34.1
1999:Q2,Next40,33.8,35.2,47,42.5,16.9,46.4,18.7,31.9,43.9,48.1,36.6,25.9
1999:Q2,Bottom50,3.3,7.4,14.6,22.7,1.6,4.4,2,5.2,32.9,27.4,52.9,17.6
1999:Q3,Top1,27.8,24.6,11.2,13.7,45.6,9.2,48.1,31.6,5.1,4.8,1.3,22.6
1999:Q3,Next9,34.7,32.4,27.1,21,35.4,40.1,31.4,31.1,18,19.6,9,34.2
1999:Q3,Next40,34.1,35.5,46.8,42.6,17.4,46.4,18.5,32.1,44,48.1,36.9,25.6
1999:Q3,Bottom50,3.4,7.6,14.9,22.7,1.7,4.4,2,5.2,32.9,27.4,52.8,17.6
1999:Q4,Top1,28.3,25.1,11.4,14.2,46.4,8.9,48.1,30.2,5,4.9,1.1,19.2
1999:Q4,Next9,34.7,32.5,27.3,20.7,35.4,40.5,31.5,30.5,18.4,19.9,8.9,37.5
1999:Q4,Next40,33.6,35,46.7,42.3,16.7,46.2,18.4,33.8,43.8,48.1,37.3,24
1999:Q4,Bottom50,3.3,7.3,14.6,22.8,1.6,4.5,1.9,5.5,32.8,27.1,52.7,19.3
2000:Q1,Top1,28.6,25.4,11.5,14.4,46.3,8.8,48.7,30.9,4.8,4.9,1.1,15.5
2000:Q1,Next9,34.8,32.7,27.3,20.5,35.5,40.8,30.8,31.4,19.1,20.2,8.8,41
2000:Q1,Next40,33.3,34.7,46.7,42.2,16.6,46,18.7,32.3,43.6,48,37.4,22.4
2000:Q1,Bottom50,3.3,7.3,14.5,22.9,1.6,4.4,1.8,5.4,32.5,26.8,52.7,21.1
2000:Q2,Top1,28.1,24.9,11.8,14.6,45.6,8.7,49.1,30.9,4.9,5,1,16.6
2000:Q2,Next9,34.8,32.6,27.3,20.2,35.8,41,30.2,31.4,18.9,20.3,8.6,39.9
2000:Q2,Next40,33.7,35.1,46.7,42.2,17.1,45.9,19,32.2,43.7,48,37.8,22.8
2000:Q2,Bottom50,3.3,7.3,14.2,22.9,1.6,4.4,1.8,5.5,32.5,26.7,52.6,20.7
2000:Q3,Top1,27.8,24.6,11.7,14.6,45.1,8.6,48,30.8,4.8,5,0.8,16.5
2000:Q3,Next9,35.1,32.8,27.2,20.3,36,41.2,32.6,30.8,18.9,20.4,8.5,40
2000:Q3,Next40,33.8,35.2,46.6,42.2,17.3,45.9,17.6,32.8,43.8,48,38.2,22.7
2000:Q3,Bottom50,3.4,7.4,14.4,22.9,1.6,4.3,1.8,5.5,32.5,26.6,52.5,20.8
2000:Q4,Top1,27.2,24,12,15,43.6,8.4,48,31.5,4.9,5,0.6,19.5
2000:Q4,Next9,35.1,32.7,27.4,19.8,36.4,41.3,32.9,30.6,18.4,20.3,8.3,36.9
