RefNo,Name,COUNTRY,REGION,Constituency/District,Year First Elected/Appointed,Out/Not Out (When First Elected),Year Out,Year Leaving Office,LGBTQ,Gender Identity,Party Affiliation,Party Ideology Family,Legislative Body,Level of Government,Position,Biography/Website,Elected/Appointed,City,State,Age,Current,Source,Race/Ethnicity
325,Réal Ménard,Canada,North America,#N/A,2010,#N/A,#N/A,2017,Gay,Male,New Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Mercier–Hochelaga-Maisonneuve,#N/A,58,no,https://web.archive.org/web/20041102110446/http://www.findarticles.com/p/articles/mi_m1589/is_2002_Sept_17/ai_91567121,#N/A
365,Ted Nebbeling,Canada,North America,#N/A,1996,#N/A,#N/A,2005,Gay,Male,Liberal Party,Center,#N/A,Mayor,Mayor,#N/A,#N/A,Whistler,British Columbia,Dead,no,https://www.dailyxtra.com/ted-nebbeling-dies-11744,#N/A
369,Glen Murray,Canada,North America,#N/A,1998,#N/A,#N/A,2004,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Winnipeg,#N/A,63,no,https://www.thestar.com/news/2007/07/11/reverse_brain_drain_brings_urban_expert_to_u_of_t.html,#N/A
371,John Fowler,Canada,North America,#N/A,2000,#N/A,#N/A,2002,Gay,Male,Independent,Independent,#N/A,Mayor,Mayor,#N/A,#N/A,City of south Sydney,#N/A,63,no,#N/A,#N/A
382,Maurice Richard,Canada,North America,#N/A,1975,#N/A,#N/A,1985,Gay,Male,Liberal Party,Center,#N/A,Mayor,Mayor,#N/A,#N/A,Quebec,#N/A,73,no,https://en.wikipedia.org/wiki/Maurice_Richard_(politician)#cite_note-4,#N/A
417,Svend Robinson,Canada,North America,Burnaby,1979,Not Out,1988,2004,Gay,#N/A,New Democratic Party,Left,MP,Parliament,,https://www.svendrobinson.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
434,Raymond Gravel,Canada,North America,Repentigny,2006,Out,2006,2008,Gay,#N/A,Bloc Québécois,Nationalist,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
440,Réal Ménard,Canada,North America,Hochelaga,1993,Not Out,1994,2009,Gay,#N/A,Bloc Québécois,Nationalist,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
452,Bill Siksay,Canada,North America,Burnaby - Douglas,2004,Out,2004,2011,Gay,#N/A,New Democratic Party,Left,MP,Parliament,,https://billsiksay.ca/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
453,Mario Silva,Canada,North America,Davenport,2004,Not Out,2004,2011,Gay,#N/A,Liberal Party,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
454,Rob Oliphant,Canada,North America,Don Valley West,2008,Out,2008,#N/A,Gay,#N/A,Liberal Party,Center,MP,Parliament,,http://roboliphantmp.ca/,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,#N/A
492,Libby Davies,Canada,North America,Vancouver East,1997,Not Out,2001,2015,Bisexual,#N/A,New Democratic Party,Left,MP,Parliament,,https://libbydavies.ca/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
493,Dany Morin,Canada,North America,Chicoutimi - Le Fjord,2011,Out,2011,2015,Gay,#N/A,New Democratic Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
494,Philip Toone,Canada,North America,Gaspésie - Îles-de-la-Madeleine,2011,Out,2011,2015,Gay,#N/A,New Democratic Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
495,Craig Scott,Canada,North America,Toronto - Danforth,2012,Out,2012,2015,Gay,#N/A,New Democratic Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
534,Scott Brison,Canada,North America,Kings - Hants,1997,Not Out,2002,2019,Gay,#N/A,Liberal Party,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
535,Sheri Benson,Canada,North America,Saskatoon West,2015,Out,2015,2019,Lesbian,#N/A,New Democratic Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
536,Randy Boissonnault,Canada,North America,Edmonton Centre,2015,Out,2015,#N/A,Gay,#N/A,Liberal Party,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
577,Randall Garrison,Canada,North America,Esquimalt - Saanich - Sooke,2011,Out,2011,#N/A,Gay,#N/A,New Democratic Party,Left,MP,Parliament,,https://randallgarrison.ndp.ca/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
578,Seamus O'Regan,Canada,North America,St. John's South - Mount Pearl,2015,Out,2015,#N/A,Gay,#N/A,Liberal Party,Center,MP,Parliament,,https://seamusoregan.libparl.ca/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
579,Eric Duncan,Canada,North America,Stormont - Dundas - South Glengarry,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://ericduncanmp.ca/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
762,Wade MacLauchlan,Canada,North America,Prince Edward Island,2015,Out,2015,#N/A,Gay,#N/A,Liberal Party,Center,Premier,Premiers and Governors,,#N/A,#N/A,#N/A,Prince Edward Island,#N/A,#N/A,#N/A,#N/A
763,Kathleen Wynne,Canada,North America,Ontario,2014,Out,2014,#N/A,Lesbian,#N/A,Liberal Party,Center,Premier,Premiers and Governors,,#N/A,#N/A,#N/A,Ontario,#N/A,#N/A,#N/A,#N/A
580,Claudio Arriagada,Chile,South America,"District 25 (La Granja, Macul y San Joaquín)",2013,Out,2013,#N/A,Gay,#N/A,Christian Democratic Party,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
581,Guillermo Ceroni,Chile,South America,District 40 (Maule),1993,Not Out,2015,#N/A,Gay,#N/A,Party for Democracy,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
32,Cecilia Alvarez,Colombia,South America,#N/A,2014,#N/A,#N/A,#N/A,Lesbian,#N/A,Independent,Independent,Cabinet Ministers,Executive,Commerce,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
66,Gina Parody,Colombia,South America,#N/A,2014,#N/A,#N/A,2016,Lesbian,#N/A,Social Party of National Union,Center ,Cabinet Ministers,Executive,Education,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
191,Claudia Lopez,Colombia,South America,#N/A,2014,#N/A,#N/A,2018,Lesbian,#N/A,Green Alliance,Green,Colombian Senate,Parliament,,#N/A,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
192,Angelica Lozano,Colombia,South America,#N/A,2018,#N/A,#N/A,#N/A,Bisexual,#N/A,Green Alliance,Green,Colombian Senate,Parliament,,#N/A,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
273,Claudia López Hernández,Colombia,South America,#N/A,2020,#N/A,#N/A,#N/A,Lesbian,Woman,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Bogot,#N/A,50,yes,https://www.cbsnews.com/news/claudia-lopez-hernandez-bogota-colombia-mayor-election-couple-kiss/,#N/A
582,Angèlica Lozano Correa,Colombia,South America,Bogotá,2014,Out,2014,#N/A,Lesbian,#N/A,Green Party,Green,MP,Parliament,,https://angelicalozano.co/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
583,Mauricio Andrés Toro Orjuela,Colombia,South America,Bogotá,2018,Out,2018,#N/A,Gay,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
483,Carmen Muñoz,Costa Rica,Central America,District 10 (San José),2010,Out,2014,2014,Lesbian,#N/A,Citizen Action,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
584,Enrique Sánchez,Costa Rica,Central America,District 12 (San José),2018,Out,2018,#N/A,Gay,#N/A,Citizen Action,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1096,Domagoj HAJDUKOVIĆ,Croatia,East/Central Europe,#N/A,2011,Out,#N/A,#N/A,Gay,Man,Social Democratic Party,Left,MP,Parliament,,https://pace.coe.int/en/members/7564/hajdukovic,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
33,Karla Šlechtová,Czech Republic,East/Central Europe,#N/A,2014,#N/A,#N/A,#N/A,Lesbian,#N/A,ANO 2011,Center,Cabinet Ministers,Executive,Regional Development,https://www.vlada.cz/en/clenove-vlady/karla-slechtova-123324/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
87,Gustáv Slamečka,Czech Republic,Scandinavia,#N/A,2009,#N/A,#N/A,2010,Gay,#N/A,Civic Democratic Party,Center Right,Cabinet Ministers,Executive,Transport,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
193,Vaclav Fischer,Czech Republic,East/Central Europe,Prauge 1,1999,#N/A,#N/A,2002,Gay,#N/A,Independent,Independent,Czech Senate,Parliament,,#N/A,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
585,Karla Šlechtová,Czech Republic,East/Central Europe,#N/A,2017,Out,2017,#N/A,Lesbian,#N/A,Independent,Independent,MP,Parliament,,https://www.karlaslechtova.cz/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34,Mogens Jensen,Denmark,Western Europe,#N/A,2014,#N/A,#N/A,#N/A,Gay,#N/A,Social Democratic Party,Left,Cabinet Ministers,Executive,Trade,http://mogenseverest.dk/English.html,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35,Søren Pape Poulsen,Denmark,Western Europe,#N/A,2016,#N/A,#N/A,#N/A,Gay,#N/A,Conservative Party,Center Right,Cabinet Ministers,Executive,Justice,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36,Simon Emil Ammitzbøll,Denmark,Western Europe,#N/A,2016,#N/A,#N/A,#N/A,Bisexual,#N/A,Liberal Alliance,Center ,Cabinet Ministers,Executive,Economy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
79,Uffe Elbæk,Denmark,Scandinavia,#N/A,2011,#N/A,#N/A,2012,Gay,#N/A,Green Alternative,Green,Cabinet Ministers,Executive,Culture,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
116,Torben Lund,Denmark,Scandinavia,#N/A,1993,#N/A,1998,1994,Gay,#N/A,Social Democrats,Left,Cabinet Ministers,Executive,Health,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
164,Torben Lund,Denmark,Scandinavia,#N/A,1999,Out,1999,2004,Gay,#N/A,Social Democrats,Left,European Parliament,Multi-State Legislature,,https://www.europarl.europa.eu/meps/en/4434/TORBEN_LUND/history/5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
213,Kim Putters,Denmark,Scandinavia,#N/A,2003,#N/A,#N/A,2013,Gay,#N/A,Labour Party,Left,Danish Senate,Parliament,,https://www.parlement.com/id/vge7dtpqd8up/k_kim_putters,Elected (Indirect),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
402,Torben Lund,Denmark,Scandinavia,#N/A,1981,Not Out,1998,1998,Gay,#N/A,Social Democrats,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
408,Yvonne Herlov Andersen,Denmark,Scandinavia,#N/A,1977,Not Out,1998,2001,Lesbian,#N/A,Centre Party,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
427,Louise Frevert,Denmark,Scandinavia,#N/A,2001,Out,2001,2007,Lesbian,#N/A,People's Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
586,Simon Emil Ammitzbøll,Denmark,Scandinavia,#N/A,2005,Out,2005,#N/A,Bisexual,#N/A,Liberal Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
587,Mogens Jensen,Denmark,Scandinavia,#N/A,2007,Out,2007,#N/A,Gay,#N/A,Social Democrats,Left,MP,Parliament,,https://www.mogensjensen.nu/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
588,Flemming Møller Mortensen,Denmark,Scandinavia,#N/A,2007,Out,2007,#N/A,Gay,#N/A,Social Democrats,Left,MP,Parliament,,https://www.flemming-moeller-mortensen.dk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
589,Uffe Elbæk,Denmark,Scandinavia,#N/A,2011,Out,2011,#N/A,Gay,#N/A,Social Liberal/The Alternative,Center,MP,Parliament,,https://www.vaelgererklaering.dk/om-partiet?election=dk&party=e2be636e-072d-4eae-bf98-83602132e433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
590,Søren Pape Poulsen,Denmark,Scandinavia,#N/A,2015,Out,2015,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://konservative.dk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1098,Tommy Ahlers,Denmark,Scandinavia,#N/A,2019,Out,#N/A,#N/A,Bisexual,Man,Conservative Party,Center Right,MP,Parliament,,https://en.wikipedia.org/wiki/Tommy_Ahlers,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
37,Carina Mafla,Ecuador,South America,#N/A,2012,#N/A,#N/A,#N/A,Lesbian,#N/A,Independent,Independent,Cabinet Ministers,Executive,Public Health,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
591,,Ecuador,South America,#N/A,2017,Out,2017,#N/A,Transgender,Woman,PAIS Alliance,Left,MP,Parliament,,https://dianerodriguez.net/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
592,Imre Sooäär,Estonia,East/Central Europe,#N/A,2011,Not Out,2014,#N/A,Gay,#N/A,Reform Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
611,Sonja J. Jógvansdóttir,Faroe Islands,Scandinavia,#N/A,2015,Out,2015,#N/A,Lesbian,#N/A,Social Democratic Party/Independent,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38,Pekka Haavisto,Finland,Scandinavia,#N/A,2019,#N/A,#N/A,#N/A,Gay,#N/A,Green Party,Green,Cabinet Ministers,Executive,Foreign Affairs,http://www.pekkahaavisto.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72,Pekka Haavisto,Finland,Scandinavia,#N/A,2013,#N/A,#N/A,2014,Gay,#N/A,Green Party,Green,Cabinet Ministers,Executive,International Development,http://www.pekkahaavisto.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
111,Pekka Haavisto,Finland,Scandinavia,#N/A,1995,#N/A,#N/A,1999,Gay,#N/A,Green Party,Green,Cabinet Ministers,Executive,Environment,http://www.pekkahaavisto.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
496,Oras Tynkkynen,Finland,Scandinavia,Pirkanmaa,2004,Out,2004,2015,Gay,#N/A,Green Party,Green,MP,Parliament,,https://www.orastynkkynen.fi/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
537,Jani Petteri Toivola,Finland,Scandinavia,Uusimaa,2011,Out,2011,2019,Gay,#N/A,Green Party,Green,MP,Parliament,,https://janitoivola.net/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
538,Silvia Modig,Finland,Scandinavia,Helsinki,2011,Out,2011,2019,Lesbian,#N/A,Left Party,Left,MP,Parliament,,http://www.silviamodig.fi/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
539,Markku Rossi,Finland,Scandinavia,Kuopio,1991,Not Out,2015,2019,Gay,#N/A,Center Party,Center,MP,Parliament,,http://www.markkurossi.net/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
593,Pekka Haavisto,Finland,Scandinavia,Helsinki,1987,Not Out,2007,#N/A,Gay,#N/A,Green Party,Green,MP,Parliament,,https://www.pekkahaavisto.fi/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
594,Sebastian Tynkkynen,Finland,Scandinavia,Oulu,2019,Out,2019,#N/A,Gay,#N/A,Finns Party,Radical Right,MP,Parliament,,https://sebastiantynkkynen.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1099,Merikukka Forsius,Finland,Scandinavia,#N/A,1999,Out,#N/A,2011,Bisexual,Woman,Green/NCP,Green,MP,Parliament,,https://en.wikipedia.org/wiki/Merikukka_Forsius,#N/A,#N/A,#N/A,#N/A,No,#N/A,White
39,Mounir Mahjoubi,France,Western Europe,#N/A,2018,#N/A,#N/A,#N/A,Gay,#N/A,En Marche,Center Right,Cabinet Ministers,Executive,Digital,https://mounir.medium.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
84,Frederic Mitterrand,France,Western Europe,#N/A,2009,#N/A,#N/A,2011,Bisexual,#N/A,Republicans,Center Right,Cabinet Ministers,Executive,Culture,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
91,Roger Karoutchi,France,Western Europe,#N/A,2007,#N/A,#N/A,2009,Gay,#N/A,Republicans,Center Right,Cabinet Ministers,Executive,Partliamentary Relations,https://www.senat.fr/senateur/karoutchi_roger99004r.html,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104,Jean-Jacques Aillagon,France,Western Europe,#N/A,2002,#N/A,#N/A,2004,Gay,#N/A,Union for a Popular Movement,Center Right,Cabinet Ministers,Executive,Culture,https://jean-jacques-aillagon.typepad.fr/about.html,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
137,Steeve Briois,France,Western Europe,#N/A,2014,Out,2014,#N/A,Gay,#N/A,National Front,Radical Right,European Parliament,Multi-State Legislature,,https://www.europarl.europa.eu/meps/en/124757/STEEVE_BRIOIS/history/8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
162,Michel Teychenné,France,Western Europe,#N/A,2008,Out,2008,2009,Gay,#N/A,Socialist Party,Left,European Parliament,Multi-State Legislature,,http://www.michelteychenne.net/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
195,Corinne Bouchoux,France,Western Europe,Maine-et-Loire,2011,#N/A,#N/A,#N/A,Lesbian,#N/A,Green Party,Green,French Senate,Parliament,,#N/A,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
196,Luc Carvounas,France,Western Europe,Val-de-Marne,2011,#N/A,#N/A,#N/A,Gay,#N/A,Socialist,Left,French Senate,Parliament,,http://www.senat.fr/senateur/carvounas_luc11032e.html,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
336,Bertrand Delanoë,France,Western Europe,#N/A,2001,#N/A,#N/A,2014,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Paris,#N/A,70,no,https://www.britannica.com/biography/Bertrand-Delanoe,#N/A
409,André Labarrère,France,Western Europe,Pyrénées-Atlantiques,1998,Not Out,1998,2001,Gay,#N/A,Socialist Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
595,Franck Riester,France,western Europe,5th Constituency (Seine-et-Marne),2007,Not Out,2011,#N/A,Gay,#N/A,Union for a Popular Movement,Center Right,MP,Parliament,,https://www.diplomatie.gouv.fr/en/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
596,Sergio Coronado,France,western Europe,French residents overseas,2012,Not Out,2012,#N/A,Gay,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
597,Laurence Vanceunebrock-Mialon,France,western Europe,Allier,2017,Out,2017,#N/A,Lesbian,#N/A,REM / En Marche!,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1100,Sebastian Chenu,France,western Europe,#N/A,2017,Out,#N/A,#N/A,Gay,Man,National Front,Radical Right,MP,Parliament,,https://en.wikipedia.org/wiki/Sébastien_Chenu,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1101,Gabriel Attal,France,western Europe,#N/A,2017,#N/A,2018,2018,Gay,Man,REM,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,No,#N/A,White
1102,Luc Carvounas,France,western Europe,#N/A,2017,Out,#N/A,2020,Gay,Man,Socialist Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,No,#N/A,White
1103,Bruno Bilde,France,western Europe,#N/A,2017,Out,#N/A,#N/A,Gay,Man,National Front,Radical Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1104,Pacôme Rupin,France,western Europe,#N/A,2017,Out,#N/A,#N/A,Gay,Man,En Marche,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1105,Raphaël Gérard,France,western Europe,#N/A,2017,#N/A,2018,#N/A,Gay,Man,En Marche,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1106,Mounir Mahjoubi,France,western Europe,#N/A,2017,Not Out,2018,#N/A,Gay,Man,En Marche,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,Arab
1107,Maxime Minot,France,western Europe,#N/A,2017,Not Out,2020,#N/A,Gay,Man,Republicans,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1108,Matthieu Orphelin,France,western Europe,#N/A,2017,Out,#N/A,#N/A,Gay,Man,En Marche,Center ,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1109,Stéphane Séjourné,France,western Europe,#N/A,2019,Out,#N/A,#N/A,Gay,Man,En Marche,Center,European Parliament,Multi-State Legislature,,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1119,Roger Karoutchi,France,western Europe,Hauts-de-Seine,1999,Not Out,2009,#N/A,Gay,#N/A,Republicans,Center Right,French Senate,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,White
40,Jens Spahn,Germany,Western Europe,#N/A,2018,#N/A,#N/A,#N/A,Gay,#N/A,Christian Democratic Union,Center Right,Cabinet Ministers,Executive,Health,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
61,Barbara Hendricks,Germany,Western Europe,#N/A,2013,#N/A,#N/A,2018,Lesbian,#N/A,Social Democratic Party,Left,Cabinet Ministers,Executive,Environment,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
77,Guido Westerwelle,Germany,Western Europe,#N/A,2009,#N/A,#N/A,2013,Gay,#N/A,Free Democratic Party,Center,Cabinet Ministers,Executive,Foreign Minister,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
142,Lissy Gröner,Germany,Western Europe,#N/A,1989,Out,1989,#N/A,Lesbian,#N/A,Social Democrats,Left,European Parliament,Multi-State Legislature,,https://www.europarl.europa.eu/meps/en/1061/LISSY_GRONER/history/6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
143,Cornelia Ernst,Germany,Western Europe,#N/A,2009,Not Out,#N/A,#N/A,Lesbian,#N/A,Left Party,Left,European Parliament,Multi-State Legislature,,https://www.cornelia-ernst.de,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
144,Holger Krahmer,Germany,Western Europe,#N/A,2004,Out,2004,#N/A,Gay,#N/A,Free Democratic Party,Center,European Parliament,Multi-State Legislature,,https://www.europarl.europa.eu/meps/en/28247/HOLGER_KRAHMER/history/7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
145,Terry Reintke,Germany,Western Europe,#N/A,2014,Out,2014,#N/A,Lesbian,#N/A,Green Party,Green,European Parliament,Multi-State Legislature,,https://terryreintke.eu/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
194,Klaus Wowereit,Germany,Western Europe,Berlin,2001,#N/A,#N/A,2002,Gay,#N/A,Social Democrat,Left,German Senate,Parliament,,https://spd.berlin/personen/klaus-wowereit/,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
277,Thomas Kufen,Germany,Western Europe,#N/A,2015,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Essen,#N/A,46,yes,https://www.derwesten.de/staedte/essen/essens-oberbuergermeister-thomas-kufen-hat-geheiratet-id11356093.html,#N/A
278,Richard Josef Arnold,Germany,Western Europe,#N/A,2009,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Schwäbisch,#N/A,61,yes,https://en.wikipedia.org/wiki/Richard_Arnold_(politician),#N/A
279,Sven Gerich,Germany,Western Europe,#N/A,2013,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Wiesbaden,#N/A,45,yes,https://www.faz.net/aktuell/gesellschaft/menschen/oberbuergermeister-michael-ebling-sven-gerich-im-interview-13498277.html,#N/A
298,Michael Ebling,Germany,Western Europe,#N/A,2012,#N/A,#N/A,#N/A,Gay,Male,Social Democratic,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Mainz,#N/A,53,yes,https://www.queer.de/detail.php?article_id=16191,#N/A
337,Klaus Wowereit,Germany,Western Europe,#N/A,2001,#N/A,#N/A,2014,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Berlin,#N/A,66,no,https://web.archive.org/web/20180923121609/http://williamleeadams.com/2013/01/01/out-at-the-top-europes-gay-leaders/,#N/A
339,Klaus Wowereit,Germany,Western Europe,#N/A,2001,#N/A,#N/A,2014,Gay,Male,Social Democratic,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Berlin,#N/A,67,no,https://web.archive.org/web/20180923121609/http://williamleeadams.com/2013/01/01/out-at-the-top-europes-gay-leaders/,#N/A
349,Michael Adam,Germany,Western Europe,#N/A,2008,#N/A,#N/A,2011,Gay,Male,Democratic Party,left,#N/A,Mayor,Mayor,#N/A,#N/A,Bodenmais,#N/A,33,no,https://www.wochenblatt.de/news-stream/bayerischer-wald/artikel/46127/landrat-adam-hat-geheiratet,#N/A
351,Ole von Beust,Germany,Western Europe,#N/A,2001,#N/A,#N/A,2010,gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,hamburg,#N/A,61,no,https://en.wikipedia.org/wiki/Ole_von_Beust,#N/A
394,Herbert Rusche,Germany,Western Europe,Hesse,1985,Out,1985,1987,Gay,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
396,Jutta Oesterle-Schwerin,Germany,Western Europe,Green Party List,1987,Out,1987,1990,Lesbian,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
